Time,Text,Show Information
"00:00:01,668",（銃声）（排莢(はいきょう)する音） ,time_render_05
"00:00:06,139",（ひづる）なれ寿司って日都ヶ島(ひとがしま)で聞きませんよね ,time_render_05
"00:00:11,544",（慎平(しんぺい)）え… ,time_render_05
"00:00:13,480",僕は まだ食べたことないんです ,time_render_05
"00:00:16,483",あなたはありますか？ ,time_render_05
"00:00:18,518",は？　え？ ,time_render_05
"00:00:20,086",（慎平）この人は… ,time_render_05
"00:00:21,721",フェリーの！ ,time_render_05
"00:00:23,289",（慎平）う… ああ… ,time_render_05
"00:00:25,025",う… あ… ,time_render_05
"00:00:27,427",か… 影は… ,time_render_05
"00:00:30,730",いない！ ,time_render_05
"00:00:46,046",（リロード音） ,time_render_05
"00:00:46,780",（銃声） ,time_render_05
"00:00:51,051",おあ… ,time_render_05
"00:00:52,685",（影澪(みお)）スゴい後ろに目えついてるんですか？ ,time_render_05
"00:00:56,389",（排莢する音） ,time_render_05
"00:01:06,599",なんで… ,time_render_05
"00:01:14,407",（慎平）ま… まさか この人… ,time_render_05
"00:01:16,810",倒したのか？　影を ,time_render_05
"00:01:19,012",ハア ハア ハア… ,time_render_05
"00:01:21,915",はじめまして ですね ,time_render_05
"00:01:24,918",（祭囃子(まつりばやし)） ,time_render_05
"00:01:28,087",（慎平）う… ああっ… ,time_render_05
"00:01:29,889",島にいたのは子供のころで食べたことないんですよね ,time_render_05
"00:01:34,494",なれ寿司 ,time_render_05
"00:01:36,863",どんな味か気になるな ,time_render_05
"00:01:39,566",（慎平）あ… あなたは… ,time_render_05
"00:01:43,403",（ひづる）えっと 申し遅れました ,time_render_05
"00:01:50,777",僕は 南雲竜之介(なぐもりゅうのすけ)といいます ,time_render_05
"00:01:53,947",（慎平）なぐ… え… 竜之介… ,time_render_05
"00:01:58,084",あなたを助けに来たんですけど ,time_render_05
"00:02:00,987",ごめんなさい遅くなってしまいました ,time_render_05
"00:02:04,657",あじろしんぺいさん ,time_render_05
"00:02:06,426",は… ,time_render_05
"00:02:08,026",♪～ ,time_render_05
"00:03:32,011",～♪ ,time_render_05
"00:03:39,819",（慎平）な… 南雲… ,time_render_05
"00:03:42,555",（ひづる）ん… こっちへ ,time_render_05
"00:03:44,557",（慎平）な… ああ… ,time_render_05
"00:03:47,260",な… 何が… ,time_render_05
"00:03:48,861",し～ 影です ,time_render_05
"00:03:51,497",（慎平）う… あ… ,time_render_05
"00:03:54,901",（裸足で駆け上がる音） ,time_render_05
"00:04:01,608",（慎平）潮(うしお)!? ,time_render_05
"00:04:03,443",あいつ ジっとしてろって言ったのに ,time_render_05
"00:04:07,680",待って 上は危険です ,time_render_05
"00:04:10,316",影たちが集まってる ,time_render_05
"00:04:11,918",な… あ… あなたは⸺ ,time_render_05
"00:04:14,320",影と人間の区別がつくんですか？ ,time_render_05
"00:04:18,458",（ひづる）影の上に立っているものは⸺ ,time_render_05
"00:04:20,627",ただ人の形をした肉の塊にすぎません ,time_render_05
"00:04:23,896",（慎平）あ… ,time_render_05
"00:04:25,465",（ひづる）足元をよく見てください ,time_render_05
"00:04:27,867",やつらの正体は地面に落ちる平面の影のほうです ,time_render_05
"00:04:31,938",なので 影を踏まれることを嫌います ,time_render_05
"00:04:35,475",踏もうとすればよけようと影のほうだけが動いたりしますよ ,time_render_05
"00:04:40,013",（慎平）うう… ,time_render_05
"00:04:43,116",（ひづる）ここからは姉の仮説ですが⸺ ,time_render_05
"00:04:45,752",影は人間を光によってスキャンし⸺ ,time_render_05
"00:04:48,288",その情報を取り込む ,time_render_05
"00:04:50,590",なぜ そうするかといえば⸺ ,time_render_05
"00:04:52,925",それがやつらの食事にあたる行為ではないか ,time_render_05
"00:04:56,629",影は人間の情報を食べて生きている ,time_render_05
"00:04:59,499",しかし 味という情報だけは直接食べる必要がある ,time_render_05
"00:05:04,437",見て ,time_render_05
"00:05:05,838",あのシミは やつらが人の肉を食べた跡 ,time_render_05
"00:05:10,243",あ… ,time_render_05
"00:05:12,011",僕たちは成り行き上影に狙われる身です ,time_render_05
"00:05:15,515",まあ あなたもでしょうけど ,time_render_05
"00:05:18,651",影は この３日間でどんどん増えてます ,time_render_05
"00:05:21,521",倒しても倒してもキリがない ,time_render_05
"00:05:24,324",何か 統率された意志を感じます ,time_render_05
"00:05:27,927",すべては一つの目的のために動いているようなね ,time_render_05
"00:05:32,298",あ… ,time_render_05
"00:05:34,133",（慎平）目的… ,time_render_05
"00:05:36,803",もうじき オカアサンが起きてくる ,time_render_05
"00:05:40,673",（フラッシュのような音）（２人）あ… ,time_render_05
"00:05:43,309",（慎平）今の光は… ,time_render_05
"00:05:45,411",うう… ,time_render_05
"00:05:47,480",影は その銃で倒せるんですよね ,time_render_05
"00:05:50,750",南雲先生 ,time_render_05
"00:05:52,618",ん… では ありませんか？ ,time_render_05
"00:05:55,855",小説家の ,time_render_05
"00:05:57,357",あ… まあ はい ,time_render_05
"00:06:00,126",やっぱり！ ,time_render_05
"00:06:01,427",お願いします手を貸してください！ ,time_render_05
"00:06:04,030",ほんまは き… 聞きたいこと山のようにありますけど！ ,time_render_05
"00:06:07,300",今は… ,time_render_05
"00:06:08,868",上に澪が…家族とか友達がいるんです！ ,time_render_05
"00:06:13,005",ううっ ハア… ,time_render_05
"00:06:19,245",（ひづる）あじろしんぺい ,time_render_05
"00:06:21,748",ほんまに あの人がみんなを救うん？ ,time_render_05
"00:06:24,884",おねえちゃん ,time_render_05
"00:06:27,553",ハアハア… は… ,time_render_05
"00:06:32,525",う… 朱鷺(とき)ちゃん！ ,time_render_05
"00:06:34,694",（朱鷺子(ときこ)）あ… 慎平さん… ,time_render_05
"00:06:37,530",ハアハア… よかった ,time_render_05
"00:06:40,366",み… みんなは… 澪は!? ,time_render_05
"00:06:43,536",（液体を踏んだ音）朱鷺… あ… ,time_render_05
"00:06:45,671",あ… ,time_render_05
"00:06:48,908",（朱鷺子）うう… ,time_render_05
"00:06:50,243",ごめんなさい ,time_render_05
"00:06:51,577",（慎平）は… ,time_render_05
"00:06:52,478",（朱鷺子）うう… ,time_render_05
"00:06:53,713",こんなこと… ,time_render_05
"00:06:56,048",こんなことのために⸺ ,time_render_05
"00:06:58,251",手 汚してきたわけちゃう！ ,time_render_05
"00:07:00,920",（刺した音）あっ… ,time_render_05
"00:07:01,788",（慎平）は… ,time_render_05
"00:07:02,588",（朱鷺子）あ… ああ… あ… ,time_render_05
"00:07:05,525",（慎平）朱鷺ちゃん… ,time_render_05
"00:07:06,793",（朱鷺子）ぐ… ああ… ,time_render_05
"00:07:09,095",うう… ,time_render_05
"00:07:12,064",は… ,time_render_05
"00:07:13,199",ダメです 下がって ,time_render_05
"00:07:18,738",（慎平）な… うう… ,time_render_05
"00:07:30,483",（大影）じき ９時になる ,time_render_05
"00:07:35,454",祭りは終わり⸺ ,time_render_05
"00:07:37,657",私は最後の日を終える ,time_render_05
"00:07:44,997",う… うう… ,time_render_05
"00:07:47,200",（慎平）境内には⸺ ,time_render_05
"00:07:49,302",蒸し暑い夜の空気に交じって⸺ ,time_render_05
"00:07:52,405",むせかえるような血の匂いが充満している ,time_render_05
"00:07:56,476",島民や観光客たちのおびただしい死体 ,time_render_05
"00:08:00,847",（大影）邪魔はさせない ,time_render_05
"00:08:03,683",（慎平）１… ３… ,time_render_05
"00:08:07,220",５… ７… ９… ,time_render_05
"00:08:11,624",11… ,time_render_05
"00:08:13,559",無意識に数を数えていた ,time_render_05
"00:08:16,495",フリーズした脳みそでもそれくらいはできるようだった ,time_render_05
"00:08:23,536",（ひづる）あ…（慎平）は… ,time_render_05
"00:08:25,371",（慎平）そして… ,time_render_05
"00:08:29,542",（窓(そう)）ああ…（慎平）ああ… ,time_render_05
"00:08:32,111",窓～！ ,time_render_05
"00:08:35,681",澪… ,time_render_05
"00:08:37,216",に… げろ ,time_render_05
"00:08:39,318",（影窓）いや～ 感動やわ ,time_render_05
"00:08:43,523",身をていして守るとか⸺ ,time_render_05
"00:08:45,825",澪への愛は ほんまもんやな 俺 ,time_render_05
"00:08:49,128",（澪）うう… 嫌… ,time_render_05
"00:08:51,564",（影窓）せやのに お前は昔っから⸺ ,time_render_05
"00:08:54,400",慎ちゃん 慎ちゃんて… ,time_render_05
"00:08:57,470",（澪）窓君… ,time_render_05
"00:09:03,809",（排莢する音） ,time_render_05
"00:09:08,247",（ひづる）ん… ,time_render_05
"00:09:16,756",澪！ ,time_render_05
"00:09:22,929",なに… ,time_render_05
"00:09:26,365",は… ,time_render_05
"00:09:30,069",（銃声） ,time_render_05
"00:09:33,739",ぐっ… ,time_render_05
"00:09:36,876",（慎平）う… ,time_render_05
"00:09:40,246",（ひづる）う… ,time_render_05
"00:09:42,248",（大影）危ないですねえ ,time_render_05
"00:09:44,450",この神聖な儀式の場に闖入(ちんにゅう)してきたということは⸺ ,time_render_05
"00:09:49,221",君たちが澪ちゃんを倒したってことかな？ ,time_render_05
"00:09:53,326",ゴホ… 貴様が… 親玉だな ,time_render_05
"00:09:58,597",く… ,time_render_05
"00:09:59,765",誰や 誰なんや！　お前！ ,time_render_05
"00:10:03,369",（影潮）ん… はっ… ,time_render_05
"00:10:07,473",あっ ぐが… ,time_render_05
"00:10:09,909",う… ああ… ,time_render_05
"00:10:13,279",（大影）君の その右目 ,time_render_05
"00:10:16,215",やはり 昔失われた母の右目 ,time_render_05
"00:10:20,419",そのオリジナル ,time_render_05
"00:10:22,221",なぜ 君が持ってる ,time_render_05
"00:10:24,924",それがあれば確かに可能か ,time_render_05
"00:10:27,593",時間の複製 ,time_render_05
"00:10:29,629",（慎平）う… ,time_render_05
"00:10:31,330",（影潮）う… 放せ！ ,time_render_05
"00:10:32,932",（影慎平）こらこら こらこら ,time_render_05
"00:10:34,567",なんなん だから暴れんなって ,time_render_05
"00:10:37,636",お前は こっち側やろ ,time_render_05
"00:10:39,605",は… 違う 私は人間や！ ,time_render_05
"00:10:42,441",小舟(こふね) 潮や！ ,time_render_05
"00:10:43,776",（影慎平）アホ 人間はな⸺ ,time_render_05
"00:10:46,645",へし折れた腕がすぐに元どおりになったりせえへん ,time_render_05
"00:10:50,449",う… うう… ,time_render_05
"00:10:52,485",が… あ… ああ… ,time_render_05
"00:10:56,489",（大影）殺しても殺しても⸺ ,time_render_05
"00:10:57,957",セーブポイントから復活する勇者に魔王が勝つには⸺ ,time_render_05
"00:11:02,461",ゲーム機の電源を切るほかないとは思いませんか？ ,time_render_05
"00:11:06,932",もしも 二次元の魔王に⸺ ,time_render_05
"00:11:09,502",電源という三次元の概念が理解できたら どうです？ ,time_render_05
